Code;Calories from animal protein (FAO (2017));Mean male height (cm)
HRV;;180.0060272
HRV;;180.0795116
HRV;;180.150389
HRV;;180.2185495
HRV;;180.2836989
HRV;;180.3469793
HRV;;180.4095223
HRV;;180.4721659
HRV;;
CUB;81.6;170.3724724
CUB;88.08;170.466674
CUB;97.96;170.5562588
CUB;101.68;170.6389296
CUB;95.64;170.7142676
CUB;101.72;170.7826611
CUB;115.16;170.8452089
CUB;131.08;170.9027819
CUB;127.64;170.9579067
CUB;137.44;171.0114395
CUB;134.84;171.0631876
CUB;127.68;171.113249
CUB;132.56;171.1613018
CUB;129.48;171.2051715
CUB;127.36;171.2445525
CUB;130.8;171.278087
CUB;132;171.3041473
CUB;126;171.324214
CUB;127.96;171.3394635
CUB;137.4;171.3525662
CUB;144.4;171.3655336
CUB;143.72;171.3798318
CUB;144;171.3958412
CUB;143.04;171.4146563
CUB;148.32;171.4370898
CUB;145.08;171.464782
CUB;140.56;171.499137
CUB;143.12;171.5395118
CUB;143.36;171.5853735
CUB;137.72;171.6365723
CUB;120.2;171.6927319
CUB;90.16;171.752267
CUB;86.76;171.8132717
CUB;88.28;171.8742916
CUB;86.48;171.9351454
CUB;84.04;
CUB;89.04;
CUB;91.08;
CUB;92.08;
CUB;88.16;
CUB;83.72;
CUB;86.2;
CUB;88.64;
CUB;86.24;
CUB;92.6;
CUB;99.32;
CUB;123.28;
CUB;127.76;
CUB;118.08;
CUB;119.12;
CUB;119.52;
CUB;127.08;
CUB;;159.8781635
CUB;;160.0603883
CUB;;160.243029
CUB;;160.4255672
CUB;;160.6077749
CUB;;160.7900797
CUB;;160.9723065
CUB;;161.1548455
CUB;;161.3372873
CUB;;161.5201564
CUB;;161.7029686
CUB;;161.8862438
CUB;;162.070883
CUB;;162.2563934
CUB;;162.4430228
CUB;;162.631919
CUB;;162.8234206
CUB;;163.0176377
CUB;;163.2140452
CUB;;163.4128641
CUB;;163.6141599
CUB;;163.8173345
CUB;;164.0224479
CUB;;164.2282992
CUB;;164.4334914
CUB;;164.6377956
CUB;;164.8396774
CUB;;165.0386705
CUB;;165.2348012
CUB;;165.4289696
CUB;;165.6216952
CUB;;165.813629
CUB;;166.0041928
CUB;;166.1927951
CUB;;166.3785941
CUB;;166.5594323
CUB;;166.7349266
CUB;;166.9055202
CUB;;167.0715423
CUB;;167.233497
CUB;;167.3914671
CUB;;167.5447901
CUB;;167.6930719
CUB;;167.8360311
CUB;;167.9744122
CUB;;168.1092123
CUB;;168.24241
CUB;;168.375039
CUB;;168.5070726
CUB;;168.6380599
CUB;;168.7683942
CUB;;168.8964951
CUB;;169.0225871
CUB;;169.1459999
CUB;;169.2658238
CUB;;169.3804819
CUB;;169.4899849
CUB;;169.5947718
CUB;;169.695518
CUB;;169.7933052
CUB;;169.8889302
CUB;;169.9849871
CUB;;170.0815142
CUB;;170.1782003
CUB;;170.2755245
CUB;;
CUW;;
CYP;84;172.2839238
CYP;82.8;172.4517355
CYP;90.28;172.6147558
CYP;94.28;172.7700403
CYP;103.4;172.9174744
CYP;113.4;173.0586913
CYP;123.16;173.1955305
CYP;134.56;173.3298346
CYP;145.56;173.4636581
CYP;146.64;173.5972772
CYP;157.84;173.7292861
CYP;165.68;173.8583444
CYP;167.36;173.9826796
CYP;132.84;174.1006588
CYP;105.12;174.2097219
CYP;105.52;174.3083215
CYP;116.56;174.3956174
CYP;126.56;174.4714673
CYP;127.4;174.5372352
CYP;131;174.5946277
CYP;137.4;174.6469717
CYP;142.92;174.6960787
CYP;156;174.7412352
CYP;160.28;174.7810206
CYP;165.4;174.8145184
CYP;172.08;174.8422557
CYP;179.2;174.8644073
CYP;183.44;174.8822344
CYP;194.72;174.8980038
CYP;195.48;174.9119207
CYP;186.32;174.925411
CYP;201.44;174.9392168
CYP;198.44;174.9531211
CYP;203.72;174.9670747
CYP;208.48;174.9809728
CYP;199.16;
CYP;203.96;
CYP;204.64;
CYP;207;
CYP;209.08;
CYP;210;
CYP;200.4;
CYP;201.32;
CYP;195.36;
CYP;188.28;
CYP;196.12;
CYP;197.16;
CYP;190;
CYP;191;
CYP;195.88;
CYP;194;
CYP;180.2;
CYP;;162.7347566
CYP;;162.8249319
CYP;;162.9153995
CYP;;163.0062162
CYP;;163.0969444
CYP;;163.1884148
CYP;;163.2805244
CYP;;163.3726985
CYP;;163.4649978
CYP;;163.5578646
CYP;;163.6514513
CYP;;163.7466071
CYP;;163.8447248
CYP;;163.9464862
CYP;;164.0531077
CYP;;164.1662869
CYP;;164.2872458
CYP;;164.415399
CYP;;164.5508328
CYP;;164.6927402
CYP;;164.8399423
CYP;;164.9920883
CYP;;165.1481796
CYP;;165.3067226
CYP;;165.4676272
CYP;;165.6302181
CYP;;165.7929204
CYP;;165.9538632
CYP;;166.1132306
CYP;;166.2724298
CYP;;166.4312436
CYP;;166.5897667
CYP;;166.7480859
CYP;;166.9057246
CYP;;167.062495
CYP;;167.2177737
CYP;;167.3708678
CYP;;167.5241112
CYP;;167.6794016
CYP;;167.8375573
CYP;;167.9968442
CYP;;168.1558911
CYP;;168.3147351
CYP;;168.4722576
CYP;;168.6273932
CYP;;168.7809116
CYP;;168.9348779
CYP;;169.0922498
CYP;;169.253208
CYP;;169.4186253
CYP;;169.5895545
CYP;;169.7654984
CYP;;169.9460242
CYP;;170.1292742
CYP;;170.3145182
CYP;;170.4995716
CYP;;170.6839873
CYP;;170.8680253
CYP;;171.0515311
CYP;;171.2333273
CYP;;171.412207
CYP;;171.5893837
CYP;;171.765923
CYP;;171.9408864
CYP;;172.1133865
CYP;;
CZE;237.44;180.1087403
CZE;207.2;180.1068582
CZE;213.76;180.1052153
CZE;215.4;
CZE;227.36;
CZE;223.6;
CZE;218.72;
CZE;217.72;
CZE;216.72;
CZE;217.44;
CZE;224.48;
CZE;231.6;
CZE;222.72;
CZE;226.56;
CZE;221.6;
CZE;219;
CZE;220.08;
CZE;208.92;
CZE;204.8;
CZE;201.92;
CZE;;167.9999391
CZE;;168.1285418
CZE;;168.2575132
CZE;;168.3865818
CZE;;168.515807
CZE;;168.6450597
CZE;;168.7744527
CZE;;168.9043709
CZE;;169.0346627
CZE;;169.1649611
CZE;;169.2953581
CZE;;169.4261475
CZE;;169.5575352
CZE;;169.6892775
CZE;;169.821918
CZE;;169.9563707
CZE;;170.093137
CZE;;170.2313107
CZE;;170.3709745
CZE;;170.5117255
CZE;;170.653313
CZE;;170.795106
CZE;;170.936584
CZE;;171.0764793
CZE;;171.2136533
CZE;;171.3472317
CZE;;171.476237
CZE;;171.6010776
CZE;;171.7232793
CZE;;171.845384
CZE;;171.9694316
CZE;;172.0979953
CZE;;172.2319264
CZE;;172.3716174
CZE;;172.5167639
CZE;;172.6661867
CZE;;172.8185423
CZE;;172.9743471
CZE;;173.133782
CZE;;173.2968308
CZE;;173.4627165
CZE;;173.6304997
CZE;;173.7996876
CZE;;173.9707934
CZE;;174.1440952
CZE;;174.3200616
CZE;;174.5001655
CZE;;174.6856347
CZE;;174.8757487
CZE;;175.0703677
CZE;;175.2697169
CZE;;175.4727384
CZE;;175.6787922
CZE;;175.8858134
CZE;;176.0923909
CZE;;176.2971312
CZE;;176.498577
CZE;;176.6956902
CZE;;176.8882217
CZE;;177.0765472
CZE;;177.2604894
CZE;;177.4412153
CZE;;177.6194168
CZE;;177.7948771
CZE;;177.967285
CZE;;178.1360547
CZE;;178.299741
CZE;;178.456013
CZE;;178.6031117
CZE;;178.7411164
CZE;;178.8712612
CZE;;178.9943389
CZE;;179.1105767
CZE;;179.2210186
CZE;;179.3259065
CZE;;179.4249676
CZE;;179.5178906
CZE;;179.6044321
CZE;;179.6841766
CZE;;179.7568111
CZE;;179.8212683
CZE;;179.8768341
CZE;;179.923297
CZE;;179.961342
CZE;;179.9928245
CZE;;180.0201727
CZE;;180.0442188
CZE;;180.0646926
CZE;;180.0825254
CZE;;180.0960822
CZE;;180.1054212
CZE;;180.1108938
CZE;;180.1130772
CZE;;180.1132319
CZE;;180.1127124
CZE;;180.1117625
CZE;;180.1102367
CZE;;
OWID_CZS;165.6;
OWID_CZS;166.56;
OWID_CZS;168;
OWID_CZS;170.96;
OWID_CZS;180.56;
OWID_CZS;181.72;
OWID_CZS;188.88;
OWID_CZS;196.12;
OWID_CZS;199.2;
OWID_CZS;203.68;
OWID_CZS;208.4;
OWID_CZS;209.68;
OWID_CZS;212.84;
OWID_CZS;217.12;
OWID_CZS;222.8;
OWID_CZS;226.28;
OWID_CZS;226.64;
OWID_CZS;229.84;
OWID_CZS;228.96;
OWID_CZS;234.2;
OWID_CZS;235.04;
OWID_CZS;224.16;
OWID_CZS;230.36;
OWID_CZS;233.56;
OWID_CZS;235;
OWID_CZS;233.56;
OWID_CZS;238.88;
OWID_CZS;246.64;
OWID_CZS;246.4;
OWID_CZS;240.28;
OWID_CZS;197.68;
OWID_CZS;192.44;
OWID_CZS;;
COD;;161.8357556
COD;;161.9306404
COD;;162.0257101
COD;;162.1207866
COD;;162.2155273
COD;;162.3107068
COD;;162.406286
COD;;162.5020349
COD;;162.5978601
COD;;162.694128
COD;;162.7901067
COD;;162.8863792
COD;;162.9830963
COD;;163.0798737
COD;;163.1780983
COD;;163.2788067
COD;;163.3819503
COD;;163.487223
COD;;163.59466
COD;;163.7041142
COD;;163.8156219
COD;;163.9289385
COD;;164.0438921
COD;;164.1594639
COD;;164.275604
COD;;164.3913891
COD;;164.5067072
COD;;164.6220781
COD;;164.7383153
COD;;164.8573
COD;;164.9804141
COD;;165.1086051
COD;;165.2422497
COD;;165.3809736
COD;;165.5235175
COD;;165.6691783
COD;;165.8170867
COD;;165.9672164
COD;;166.1192045
COD;;166.2728706
COD;;166.4268069
COD;;166.5799352
COD;;166.7316761
COD;;166.8814776
COD;;167.0290623
COD;;167.1746188
COD;;167.3191314
COD;;167.4639724
COD;;167.6086095
COD;;167.7524351
COD;;167.8955609
COD;;168.0372535
COD;;168.1769065
COD;;168.3133755
COD;;168.4457635
COD;;168.572751
COD;;168.6936421
COD;;168.8091174
COD;;168.9178575
COD;;169.0213123
COD;;169.1193936
COD;;169.212966
COD;;169.3022278
COD;;169.3865255
COD;;169.4655387
COD;;169.5384007
COD;;169.603073
COD;;169.6580366
COD;;169.7013417
COD;;169.7338288
COD;;169.7563758
COD;;169.7701314
COD;;169.7765096
COD;;169.7772051
COD;;169.7736103
COD;;169.7658194
COD;;169.7535938
COD;;169.737341
COD;;169.7161051
COD;;169.6880298
COD;;169.6516724
COD;;169.6046213
COD;;169.5453981
COD;;169.4741968
COD;;169.391272
COD;;169.2974736
COD;;169.1921057
COD;;169.0743426
COD;;168.9447385
COD;;168.8028154
COD;;168.6486686
COD;;168.4834683
COD;;168.3089856
COD;;168.1277093
COD;;167.940924
COD;;167.7514498
COD;;167.5606895
COD;;167.3691496
COD;;167.1776824
COD;;166.9866407
COD;;
DNK;188.8;179.2181727
DNK;177.32;179.3793229
DNK;184.76;179.532563
DNK;191.16;179.6737979
DNK;184.96;179.8035177
DNK;194.16;179.9232651
DNK;190.64;180.0358703
DNK;181.36;180.14337
DNK;191.68;180.247078
DNK;184.52;180.3472984
DNK;188.4;180.4436056
DNK;189.76;180.5351775
DNK;176.8;180.6209133
DNK;188.08;180.6991991
DNK;198.92;180.7695221
DNK;208.76;180.8316913
DNK;214.44;180.8855085
DNK;225.04;180.9312669
DNK;218.16;180.9708375
DNK;225;181.0061598
DNK;223.64;181.0394215
DNK;218.32;181.0717483
DNK;211.64;181.102544
DNK;211.84;181.1313453
DNK;238.64;181.1570049
DNK;254.84;181.1802702
DNK;263.08;181.2011708
DNK;268.44;181.2208632
DNK;266.76;181.2404634
DNK;280.24;181.259843
DNK;287.08;181.2793905
DNK;273.68;181.299871
DNK;276.36;181.3209659
DNK;271.16;181.342213
DNK;285.24;181.3637978
DNK;262;
DNK;270.4;
DNK;253.64;
DNK;248.24;
DNK;279.36;
DNK;276.48;
DNK;260.52;
DNK;267;
DNK;304.04;
DNK;290.8;
DNK;284.76;
DNK;277.88;
DNK;255.92;
DNK;274.56;
DNK;268.12;
DNK;259;
DNK;279.28;
DNK;;169.9655954
DNK;;170.0921957
DNK;;170.2189786
DNK;;170.3457263
DNK;;170.4723805
DNK;;170.5996263
DNK;;170.727647
DNK;;170.8559927
DNK;;170.9847987
DNK;;171.1139847
DNK;;171.243348
DNK;;171.3733297
DNK;;171.5048742
DNK;;171.6384003
DNK;;171.7750636
DNK;;171.9166583
DNK;;172.0638498
DNK;;172.215841
DNK;;172.3714529
DNK;;172.5296656
DNK;;172.6883921
DNK;;172.8462691
DNK;;173.0021483
DNK;;173.154956
DNK;;173.3041901
DNK;;173.4497057
DNK;;173.5910316
DNK;;173.7274717
DNK;;173.8605071
DNK;;173.994186
DNK;;174.1298745
DNK;;174.2695049
DNK;;174.4144275
DNK;;174.5628643
DNK;;174.7153782
DNK;;174.8709639
DNK;;175.0279498
DNK;;175.1877618
DNK;;175.3502557
DNK;;175.5123537
DNK;;175.6701447
DNK;;175.8197623
DNK;;175.9596049
DNK;;176.0892681
DNK;;176.2092946
DNK;;176.3215785
DNK;;176.4302071
DNK;;176.5393391
DNK;;176.65036
DNK;;176.7645966
DNK;;176.8849201
DNK;;177.0114975
DNK;;177.1450302
DNK;;177.2846508
DNK;;177.4302281
DNK;;177.5797832
DNK;;177.7327532
DNK;;177.889495
DNK;;178.0496541
DNK;;178.2127326
DNK;;178.3773247
DNK;;178.5442728
DNK;;178.7133722
DNK;;178.883002
DNK;;179.0518365
DNK;;
DJI;73.12;168.5318796
DJI;70.32;168.5804771
DJI;67.28;168.6208694
DJI;64;168.6514821
DJI;60.52;168.6732745
DJI;61.48;168.6874274
DJI;60.24;168.695066
DJI;59.56;168.6983923
DJI;59.32;168.6994311
DJI;57.6;168.6993087
DJI;56.68;168.6984271
DJI;55.24;168.6972354
DJI;51.68;168.6961814
DJI;57.76;168.6943406
DJI;61.84;168.6897565
DJI;66.84;168.6800523
DJI;55.56;168.662958
DJI;56.12;168.6366791
DJI;57.8;168.6011793
DJI;61;168.5566238
DJI;62.04;168.5025816
DJI;62.44;168.4384119
DJI;60.84;168.3621535
DJI;59.64;168.27433
DJI;58.72;168.1736403
DJI;56.4;168.0602544
DJI;50.28;167.9344099
DJI;49.44;167.7983241
DJI;44.52;167.6545118
DJI;42.6;167.5047108
DJI;43.36;167.3511717
DJI;45.32;167.1960535
DJI;50.32;167.0403141
DJI;49.36;166.884532
DJI;49.04;166.7290972
DJI;51.92;
DJI;49.2;
DJI;54.68;
DJI;60.64;
DJI;58;
DJI;60.36;
DJI;58.8;
DJI;56.76;
DJI;62.56;
DJI;79.6;
DJI;86.88;
DJI;77.4;
DJI;58.32;
DJI;55.2;
DJI;49.84;
DJI;57.24;
DJI;60.36;
DJI;;161.507136
DJI;;161.6084499
DJI;;161.7101062
DJI;;161.8116205
DJI;;161.9130566
DJI;;162.0148086
DJI;;162.1170307
DJI;;162.2189242
DJI;;162.3208517
DJI;;162.4227642
DJI;;162.5245713
DJI;;162.6271702
DJI;;162.7305599
DJI;;162.834414
DJI;;162.9393574
DJI;;163.0460988
DJI;;163.1551523
DJI;;163.2662932
DJI;;163.3786026
DJI;;163.4926784
DJI;;163.6085146
DJI;;163.7255965
DJI;;163.8439873
DJI;;163.9622047
DJI;;164.0800032
DJI;;164.1968321
DJI;;164.3121533
DJI;;164.4262266
DJI;;164.5399509
DJI;;164.6551689
DJI;;164.7732728
DJI;;164.8958843
DJI;;165.0227773
DJI;;165.1533034
DJI;;165.2866666
DJI;;165.4216235
DJI;;165.5565505
DJI;;165.6920489
DJI;;165.8274554
DJI;;165.9624514
DJI;;166.0957841
DJI;;166.2268521
DJI;;166.3551472
DJI;;166.4799812
DJI;;166.6012363
DJI;;166.7195269
DJI;;166.8360811
DJI;;166.9519116
DJI;;167.0668954
DJI;;167.1802246
DJI;;167.2924656
DJI;;167.4025998
DJI;;167.5104282
DJI;;167.6154385
DJI;;167.7169324
DJI;;167.81367
DJI;;167.9048797
DJI;;167.9913671
DJI;;168.0724732
DJI;;168.1484855
DJI;;168.22023
DJI;;168.2889231
DJI;;168.354765
DJI;;168.4172981
DJI;;168.4768562
DJI;;
DMA;69.84;174.2795888
DMA;79.96;174.3750556
DMA;80.44;174.4671302
DMA;83.12;174.5538602
DMA;89.48;174.6352317
DMA;84.52;174.7112285
DMA;83.48;174.7835089
DMA;89.64;174.8527973
DMA;97.6;174.9214874
DMA;94.6;174.990782
DMA;95.76;175.0605152
DMA;98.48;175.1303832
DMA;90.32;175.1999264
DMA;92.92;175.2672602
DMA;89.04;175.3320069
DMA;84.84;175.3923601
DMA;102.72;175.4467351
DMA;109.16;175.4961573
DMA;93.28;175.5407528
DMA;103.6;175.5824521
DMA;106.72;175.6223806
DMA;113.12;175.6615038
DMA;105.12;175.6996378
DMA;118.04;175.7375775
DMA;118.68;175.7751599
DMA;136.44;175.8138914
DMA;144.24;175.8542803
DMA;147.52;175.896542
DMA;159.72;175.9414677
DMA;162.48;175.9893377
DMA;164.12;176.0403854
DMA;171.88;176.0939042
DMA;175.68;176.1487639
DMA;180.32;176.2035628
DMA;192.52;176.2583357
DMA;195.68;
DMA;191.36;
DMA;198.4;
DMA;211.52;
DMA;205.44;
DMA;209.04;
DMA;194.32;
DMA;196.56;
DMA;184.32;
DMA;199.52;
DMA;206.32;
DMA;212.2;
DMA;204.24;
DMA;188.2;
DMA;178.68;
DMA;172.96;
DMA;156.76;
DMA;;164.4652394
DMA;;164.6312032
DMA;;164.797408
DMA;;164.9635287
DMA;;165.1294179
DMA;;165.295537
DMA;;165.4617956
DMA;;165.6281418
DMA;;165.7942258
DMA;;165.9605734
DMA;;166.1266485
DMA;;166.2934163
DMA;;166.4614725
DMA;;166.6303625
DMA;;166.800505
DMA;;166.9731695
DMA;;167.1482973
DMA;;167.3259732
DMA;;167.5057272
DMA;;167.6877531
DMA;;167.8715792
DMA;;168.0573893
DMA;;168.2451376
DMA;;168.4330624
DMA;;168.6206939
DMA;;168.8070553
DMA;;168.991051
DMA;;169.1720021
DMA;;169.350417
DMA;;169.5267738
DMA;;169.7020021
DMA;;169.8765859
DMA;;170.0502773
DMA;;170.2226129
DMA;;170.3927239
DMA;;170.5589509
DMA;;170.7208851
DMA;;170.8788501
DMA;;171.0332028
DMA;;171.1844057
DMA;;171.3326203
DMA;;171.477674
DMA;;171.6191146
DMA;;171.7562285
DMA;;171.890077
DMA;;172.0211843
DMA;;172.1515987
DMA;;172.281982
DMA;;172.4126473
DMA;;172.5431847
DMA;;172.6732833
DMA;;172.8016845
DMA;;172.9286695
DMA;;173.0530572
DMA;;173.1741224
DMA;;173.2902701
DMA;;173.400806
DMA;;173.5064147
DMA;;173.6077264
DMA;;173.7054968
DMA;;173.8004255
DMA;;173.8949879
DMA;;173.9901972
DMA;;174.0857149
DMA;;174.1825277
DMA;;
DOM;51.04;169.7817552
DOM;59.92;169.8987712
DOM;60.4;170.0129187
DOM;67.2;170.1222893
DOM;54.16;170.2263118
DOM;63.56;170.3256314
DOM;59.08;170.421612
DOM;64.8;170.5147806
DOM;64.8;170.6074281
DOM;65.08;170.7008062
DOM;65.68;170.794973
DOM;62.56;170.8892186
DOM;60.48;170.9830711
DOM;57.84;171.0748402
DOM;58.6;171.1641336
DOM;61.16;171.2489412
DOM;68.12;171.3285133
DOM;65.76;171.4037952
DOM;75.28;171.4749245
DOM;79.32;171.5435822
DOM;74.84;171.6112858
DOM;72.72;171.6787291
DOM;75.4;171.7455027
DOM;71.24;171.8125825
DOM;73.4;171.8800763
DOM;71.8;171.9487527
DOM;72.4;172.0194757
DOM;75.72;172.0921238
DOM;80.52;172.1673363
DOM;77.84;172.2457366
DOM;82.08;172.3271291
DOM;85.16;172.4106974
DOM;88.04;172.4950046
DOM;88.84;172.5791175
DOM;88.92;172.6629355
DOM;92.76;
DOM;96.08;
DOM;87.72;
DOM;91.6;
DOM;89.52;
DOM;94.92;
DOM;77.56;
DOM;85.16;
DOM;99.2;
DOM;110.2;
DOM;113.96;
DOM;113.96;
DOM;116.04;
DOM;118.24;
DOM;104.76;
DOM;98.8;
DOM;105.6;
DOM;;160.2625691
DOM;;160.4129146
DOM;;160.5635256
DOM;;160.7138147
DOM;;160.8641592
DOM;;161.0148604
DOM;;161.1658642
DOM;;161.3172913
DOM;;161.4686966
DOM;;161.6202287
DOM;;161.7716157
DOM;;161.9234139
DOM;;162.0765918
DOM;;162.2303874
DOM;;162.3853292
DOM;;162.5428692
DOM;;162.7029424
DOM;;162.8657239
DOM;;163.0307652
DOM;;163.1981615
DOM;;163.3674554
DOM;;163.5388152
DOM;;163.7121813
DOM;;163.8860419
DOM;;164.0600077
DOM;;164.2334988
DOM;;164.404909
DOM;;164.5737986
DOM;;164.74026
DOM;;164.9055824
DOM;;165.0700531
DOM;;165.2344201
DOM;;165.39827
DOM;;165.5611538
DOM;;165.7220843
DOM;;165.879419
DOM;;166.0327898
DOM;;166.1829497
DOM;;166.3301049
DOM;;166.4748938
DOM;;166.6177363
DOM;;166.7579489
DOM;;166.8953608
DOM;;167.0296467
DOM;;167.1616567
DOM;;167.2922252
DOM;;167.4229804
DOM;;167.5548911
DOM;;167.6878226
DOM;;167.8217564
DOM;;167.9566233
DOM;;168.0914197
DOM;;168.2259194
DOM;;168.3593892
DOM;;168.4908139
DOM;;168.6184673
DOM;;168.7412189
DOM;;168.8602711
DOM;;168.9763516
DOM;;169.0907232
DOM;;169.2033511
DOM;;169.3164304
DOM;;169.4307844
DOM;;169.5463096
DOM;;169.66356
DOM;;
;;161.4135
;;161.5011
;;161.5889
;;161.677
;;161.7653
;;161.8541
;;161.9435
;;162.033
;;162.1229
;;162.2128
;;162.3028
;;162.3929
;;162.4837
;;162.5751
;;162.6678
;;162.7627
;;162.8603
;;162.9598
;;163.061
;;163.1635
;;163.2668
;;163.3708
;;163.4753
;;163.5784
;;163.6797
;;163.7786
;;163.8746
;;163.9677
;;164.0583
;;164.1486
;;164.2394
;;164.3313
;;164.4248
;;164.5194
;;164.6146
;;164.71
;;164.8051
;;164.9012
;;164.9991
;;165.0996
;;165.2019
;;165.3057
;;165.4105
;;165.5157
;;165.6215
;;165.7287
;;165.8392
;;165.9548
;;166.0744
;;166.198
;;166.3252
;;166.4547
;;166.5861
;;166.718
;;166.8497
;;166.9798
;;167.1072
;;167.2319
;;167.3531
;;167.4705
;;167.5837
;;167.6934
;;167.7998
;;167.9022
;;168.0011
;;168.0959
;;168.1855
;;168.2682
;;168.3427
;;168.4092
;;168.4694
;;168.525
;;168.5772
;;168.6283
;;168.6786
;;168.7288
;;168.7791
;;168.8297
;;168.8802
;;168.9299
;;168.9771
;;169.0201
;;169.0585
;;169.0923
;;169.1225
;;169.1503
;;169.1754
;;169.197
;;169.2147
;;169.2279
;;169.2369
;;169.2415
;;169.2425
;;169.2414
;;169.2386
;;169.235
;;169.2312
;;169.2271
;;169.2226
;;169.2179
OWID_GDR;;
ECU;73.76;164.6759152
ECU;73.72;164.7938879
ECU;75;164.907626
ECU;73.04;165.0154754
ECU;73.2;165.1173193
ECU;73.84;165.213283
ECU;74.68;165.3048707
ECU;77.04;165.3932491
ECU;75.64;165.4802595
ECU;80.96;165.5674084
ECU;77.56;165.6539746
ECU;79;165.7405317
ECU;81;165.8263015
ECU;83.64;165.9098616
ECU;83.2;165.9901877
ECU;85.4;166.0661807
ECU;89.84;166.1361138
ECU;94.32;166.2004974
ECU;100;166.2598334
ECU;96.2;166.3153912
ECU;91.04;166.3688107
ECU;94.12;166.4203982
ECU;87;166.4697191
ECU;88.68;166.5170411
ECU;83.8;166.5619614
ECU;82.08;166.6056965
ECU;78.56;166.6482398
ECU;81.8;166.6905992
ECU;82.96;166.733635
ECU;88;166.77815
ECU;90.48;166.8251714
ECU;90.16;166.8743523
ECU;93.36;166.924823
ECU;97.16;166.9755614
ECU;103.48;167.0260104
ECU;122.04;
ECU;116.24;
ECU;113.96;
ECU;119.68;
ECU;122.8;
ECU;118.48;
ECU;121;
ECU;123.28;
ECU;120.36;
ECU;132.12;
ECU;136.12;
ECU;143.04;
ECU;138.28;
ECU;143.8;
ECU;149.4;
ECU;141.96;
ECU;146.12;
ECU;;155.6286833
ECU;;155.7518756
ECU;;155.8750222
ECU;;155.9982455
ECU;;156.1216707
ECU;;156.2455371
ECU;;156.3696675
ECU;;156.4943676
ECU;;156.6186857
ECU;;156.7428333
ECU;;156.8664143
ECU;;156.9903703
ECU;;157.1158647
ECU;;157.2421007
ECU;;157.3694286
ECU;;157.4993832
ECU;;157.6317413
ECU;;157.7664654
ECU;;157.9033096
ECU;;158.0429626
ECU;;158.184599
ECU;;158.3284524
ECU;;158.4742825
ECU;;158.6207653
ECU;;158.7672646
ECU;;158.9132713
ECU;;159.0577089
ECU;;159.200758
ECU;;159.3426045
ECU;;159.4845484
ECU;;159.6276939
ECU;;159.7725972
ECU;;159.9195437
ECU;;160.0676239
ECU;;160.2161683
ECU;;160.3634151
ECU;;160.5097081
ECU;;160.6549971
ECU;;160.8000172
ECU;;160.9458737
ECU;;161.0919448
ECU;;161.2382541
ECU;;161.3840827
ECU;;161.529404
ECU;;161.6740045
ECU;;161.8193374
ECU;;161.9661708
ECU;;162.1165452
ECU;;162.2699159
ECU;;162.4259256
ECU;;162.58434
ECU;;162.7436656
ECU;;162.9030758
ECU;;163.0609303
ECU;;163.21657
ECU;;163.3682594
ECU;;163.51527
ECU;;163.6573151
ECU;;163.7946164
ECU;;163.9279601
ECU;;164.0572247
ECU;;164.1840751
ECU;;164.3091155
ECU;;164.4326798
ECU;;164.5550462
ECU;;
EGY;32.88;170.1373708
EGY;33.24;170.20977
EGY;33.16;170.2745963
EGY;33.24;170.3302886
EGY;32.2;170.3778129
EGY;33.32;170.4195261
EGY;30.96;170.4557572
EGY;34.16;170.4862785
EGY;33.12;170.5122307
EGY;32.76;170.5326797
EGY;33;170.5454998
EGY;32.72;170.5489845
EGY;32.2;170.5421694
EGY;32.48;170.5237299
EGY;34.64;170.490815
EGY;36.04;170.4405487
EGY;37.2;170.3697032
EGY;38.32;170.2777114
EGY;37.84;170.1658305
EGY;41.04;170.0358824
EGY;44.8;169.8903973
EGY;45.4;169.7308485
EGY;50.84;169.5573433
EGY;52.72;169.3705865
EGY;52.08;169.172193
EGY;51.2;168.96302
EGY;51.84;168.745328
EGY;52.8;168.5216427
EGY;51.12;168.2946758
EGY;51.64;168.0652173
EGY;51.16;167.8354907
EGY;51.36;167.6059211
EGY;51.4;167.3762197
EGY;57.2;167.1456288
EGY;58.96;166.9148499
EGY;65.4;
EGY;69.08;
EGY;72.56;
EGY;75.4;
EGY;71.4;
EGY;73.88;
EGY;79.68;
EGY;75.16;
EGY;78.8;
EGY;87.16;
EGY;94.08;
EGY;91.04;
EGY;85.88;
EGY;100.72;
EGY;97.8;
EGY;104.84;
EGY;105.36;
EGY;;158.6356864
EGY;;158.8412649
EGY;;159.0470198
EGY;;159.2532253
EGY;;159.4592165
EGY;;159.664999
EGY;;159.8708617
EGY;;160.0771625
EGY;;160.2834919
EGY;;160.490093
EGY;;160.6966236
EGY;;160.9036767
EGY;;161.1113947
EGY;;161.3197753
EGY;;161.52948
EGY;;161.7410482
EGY;;161.9551984
EGY;;162.1713638
EGY;;162.3892188
EGY;;162.6086902
EGY;;162.8297917
EGY;;163.0523862
EGY;;163.2770701
EGY;;163.5018804
EGY;;163.725989
EGY;;163.9480309
EGY;;164.166042
EGY;;164.379449
EGY;;164.5874605
EGY;;164.7908133
EGY;;164.9896803
EGY;;165.1860087
EGY;;165.3798547
EGY;;165.5715947
EGY;;165.7614532
EGY;;165.9489059
EGY;;166.1332544
EGY;;166.3151019
EGY;;166.4950606
EGY;;166.6736072
EGY;;166.8497611
