Code;Calories from animal protein (FAO (2017));Mean male height (cm)
AFG;59.84;165.3550563
AFG;67.8;165.340645
AFG;64.96;165.3261648
AFG;59.76;165.3120761
AFG;58.44;165.2981032
AFG;60.04;165.2841484
AFG;60.64;165.2701323
AFG;67.88;
AFG;70.84;
AFG;72.56;
AFG;59.2;
AFG;44.28;
AFG;57.04;
AFG;52.88;
AFG;53.4;
AFG;52.08;
AFG;45.12;
AFG;45.84;
AFG;47.2;
AFG;46.72;
AFG;48.44;
AFG;48.72;
AFG;49.04;
AFG;48.88;
AFG;;161.1640953
AFG;;161.196286
AFG;;161.2282966
AFG;;161.2607274
AFG;;161.2930682
AFG;;161.325492
AFG;;161.3583553
AFG;;161.3912147
AFG;;161.4239893
AFG;;161.4567642
AFG;;161.4894043
AFG;;161.5229355
AFG;;161.5572929
AFG;;161.5924115
AFG;;161.6288848
AFG;;161.6678293
AFG;;161.7097565
AFG;;161.7544944
AFG;;161.8015948
AFG;;161.8512242
AFG;;161.9029869
AFG;;161.9569878
AFG;;162.0126184
AFG;;162.0692287
AFG;;162.1259389
AFG;;162.1826578
AFG;;162.2384477
AFG;;162.2938166
AFG;;162.3493607
AFG;;162.4063756
AFG;;162.4658093
AFG;;162.5287465
AFG;;162.5953253
AFG;;162.6649787
AFG;;162.7363663
AFG;;162.8085523
AFG;;162.8802754
AFG;;162.9518219
AFG;;163.0234031
AFG;;163.0949112
AFG;;163.16596
AFG;;163.2362977
AFG;;163.305397
AFG;;163.3729943
AFG;;163.4389961
AFG;;163.5041548
AFG;;163.5700656
AFG;;163.6382848
AFG;;163.7087534
AFG;;163.7810528
AFG;;163.855399
AFG;;163.9310933
AFG;;164.0073807
AFG;;164.0832287
AFG;;164.1575871
AFG;;164.2290702
AFG;;164.2967149
AFG;;164.3606172
AFG;;164.4204793
AFG;;164.476951
AFG;;164.5306042
AFG;;164.5831243
AFG;;164.6357244
AFG;;164.6887788
AFG;;164.7427774
AFG;;
OWID_AKD;;
ALB;75.48;172.9608808
ALB;74.24;173.0940685
ALB;72.6;173.2191786
ALB;70.72;173.3346446
ALB;71.84;173.4406076
ALB;72.16;173.5378249
ALB;77.56;173.627109
ALB;73.24;173.7082846
ALB;73.08;173.7825754
ALB;74.24;173.850303
ALB;77.32;173.9113278
ALB;74.36;173.9650673
ALB;77.04;174.0117739
ALB;77.76;174.0505541
ALB;77.08;174.0815889
ALB;78.88;174.1041677
ALB;79.56;174.1168945
ALB;84.56;174.1199161
ALB;85.6;174.1136579
ALB;85.64;174.1004181
ALB;87.92;174.082172
ALB;88.56;174.0590177
ALB;89.16;174.0313185
ALB;85.56;173.9999356
ALB;83.56;173.9630378
ALB;78.96;173.9211807
ALB;81.16;173.8748376
ALB;86.24;173.8245812
ALB;87.84;173.7719013
ALB;95.64;173.7178605
ALB;106.72;173.6634553
ALB;112.2;173.6087279
ALB;119;173.5541174
ALB;141.08;173.4989242
ALB;158;173.4438953
ALB;145.44;
ALB;143.12;
ALB;156.28;
ALB;155.56;
ALB;164.36;
ALB;179.08;
ALB;188.2;
ALB;191.6;
ALB;195.44;
ALB;201.6;
ALB;200.72;
ALB;213.16;
ALB;216.12;
ALB;225.24;
ALB;227.64;
ALB;236.84;
ALB;237.68;
ALB;;163.3251405
ALB;;163.4664286
ALB;;163.6081043
ALB;;163.7499
ALB;;163.8918524
ALB;;164.0341812
ALB;;164.1765785
ALB;;164.3191517
ALB;;164.4619655
ALB;;164.604732
ALB;;164.7471545
ALB;;164.889747
ALB;;165.0328649
ALB;;165.175903
ALB;;165.3195701
ALB;;165.4652524
ALB;;165.6130697
ALB;;165.762062
ALB;;165.9119581
ALB;;166.0628185
ALB;;166.2141824
ALB;;166.3654336
ALB;;166.5162231
ALB;;166.6650012
ALB;;166.8105446
ALB;;166.9518565
ALB;;167.0882407
ALB;;167.2198433
ALB;;167.3479803
ALB;;167.4752804
ALB;;167.6036546
ALB;;167.7356023
ALB;;167.8714713
ALB;;168.0114638
ALB;;168.1551437
ALB;;168.3012698
ALB;;168.4486779
ALB;;168.5975891
ALB;;168.7477664
ALB;;168.8986963
ALB;;169.0499284
ALB;;169.200771
ALB;;169.3504527
ALB;;169.4994214
ALB;;169.6483128
ALB;;169.7977261
ALB;;169.9493324
ALB;;170.1045284
ALB;;170.2628933
ALB;;170.4244876
ALB;;170.5896339
ALB;;170.7572009
ALB;;170.9270706
ALB;;171.0979507
ALB;;171.2685404
ALB;;171.4377637
ALB;;171.6041685
ALB;;171.7668696
ALB;;171.9261965
ALB;;172.0827375
ALB;;172.2357464
ALB;;172.3862695
ALB;;172.5346774
ALB;;172.6800257
ALB;;172.8223915
ALB;;
DZA;43.16;171.978911
DZA;36.36;172.0366407
DZA;29.76;172.0875635
DZA;30.6;172.1300054
DZA;31.52;172.1654926
DZA;32.48;172.1963965
DZA;31.96;172.2241947
DZA;35;172.2490298
DZA;35.68;172.2726637
DZA;34.2;172.2949806
DZA;36.2;172.3144782
DZA;37.92;172.3301168
DZA;37.36;172.3411875
DZA;42.16;172.3462595
DZA;42.92;172.3426266
DZA;46.12;172.327746
DZA;50.16;172.2983643
DZA;50.28;172.2540071
DZA;49.24;172.195546
DZA;55.24;172.1243978
DZA;60.76;172.0425902
DZA;64.76;171.9510867
DZA;70.12;171.8496587
DZA;68.44;171.7388166
DZA;73.16;171.6189501
DZA;67.96;171.4907542
DZA;72.44;171.3557109
DZA;70.52;171.2162769
DZA;74.32;171.0746603
DZA;75.72;170.9312927
DZA;73.2;170.7879805
DZA;74.12;170.6453718
DZA;82.8;170.502638
DZA;79.2;170.3592965
DZA;75.2;170.2157974
DZA;67.36;
DZA;72.84;
DZA;71.28;
DZA;74.72;
DZA;77.04;
DZA;80.12;
DZA;79.56;
DZA;87.24;
DZA;87.4;
DZA;87.52;
DZA;87.64;
DZA;85.28;
DZA;91.12;
DZA;90.16;
DZA;100.12;
DZA;100.64;
DZA;99.96;
DZA;;160.3880782
DZA;;160.6022438
DZA;;160.8164971
DZA;;161.0310715
DZA;;161.2460556
DZA;;161.460899
DZA;;161.6759963
DZA;;161.8915061
DZA;;162.1068665
DZA;;162.3223953
DZA;;162.5378347
DZA;;162.7532288
DZA;;162.9695259
DZA;;163.1861911
DZA;;163.4043539
DZA;;163.624464
DZA;;163.8476961
DZA;;164.0738262
DZA;;164.3025196
DZA;;164.5339267
DZA;;164.7679003
DZA;;165.0044161
DZA;;165.2443308
DZA;;165.4854059
DZA;;165.726265
DZA;;165.9652788
DZA;;166.2005195
DZA;;166.4308093
DZA;;166.6554063
DZA;;166.8749673
DZA;;167.0891604
DZA;;167.2997761
DZA;;167.506997
DZA;;167.7106326
DZA;;167.9105663
DZA;;168.1062409
DZA;;168.296774
DZA;;168.4829454
DZA;;168.6655066
DZA;;168.8447255
DZA;;169.0198421
DZA;;169.1911212
DZA;;169.3581788
DZA;;169.5215233
DZA;;169.6814897
DZA;;169.8384081
DZA;;169.9928818
DZA;;170.1460581
DZA;;170.2964968
DZA;;170.4433256
DZA;;170.5858
DZA;;170.7217874
DZA;;170.8510885
DZA;;170.9723808
DZA;;171.0857574
DZA;;171.1910278
DZA;;171.2888226
DZA;;171.3808737
DZA;;171.4684786
DZA;;171.5514604
DZA;;171.6303833
DZA;;171.7061482
DZA;;171.7791009
DZA;;171.8490216
DZA;;171.9157367
DZA;;
ASM;;169.7157095
ASM;;169.7487526
ASM;;169.7819706
ASM;;169.8156709
ASM;;169.8497501
ASM;;169.8849792
ASM;;169.9209943
ASM;;169.9582362
ASM;;169.9967678
ASM;;170.0361651
ASM;;170.0767294
ASM;;170.1186944
ASM;;170.162128
ASM;;170.2068605
ASM;;170.2535635
ASM;;170.3030541
ASM;;170.3549655
ASM;;170.4090172
ASM;;170.4645111
ASM;;170.5217252
ASM;;170.5803803
ASM;;170.6400304
ASM;;170.700504
ASM;;170.7593294
ASM;;170.816121
ASM;;170.8700874
ASM;;170.9199806
ASM;;170.9653651
ASM;;171.0066985
ASM;;171.0450389
ASM;;171.080861
ASM;;171.1152962
ASM;;171.1491268
ASM;;171.1820514
ASM;;171.2137252
ASM;;171.2437117
ASM;;171.2718408
ASM;;171.299759
ASM;;171.3288075
ASM;;171.3601524
ASM;;171.3940877
ASM;;171.4315962
ASM;;171.4736691
ASM;;171.5201986
ASM;;171.5728841
ASM;;171.6335355
ASM;;171.7041133
ASM;;171.7865096
ASM;;171.8799198
ASM;;171.9845179
ASM;;172.0999465
ASM;;172.224668
ASM;;172.3579036
ASM;;172.4976847
ASM;;172.6431328
ASM;;172.7925555
ASM;;172.9442645
ASM;;173.0979443
ASM;;173.2523405
ASM;;173.4067137
ASM;;173.5604903
ASM;;173.7142578
ASM;;173.8673911
ASM;;174.0186623
ASM;;174.1672957
ASM;;174.3124395
ASM;;174.4527991
ASM;;174.5861558
ASM;;174.7108303
ASM;;174.8269254
ASM;;174.9353808
ASM;;175.0374674
ASM;;175.134385
ASM;;175.2275341
ASM;;175.3171321
ASM;;175.4033581
ASM;;175.4861483
ASM;;175.5653151
ASM;;175.6402194
ASM;;175.7103491
ASM;;175.7745202
ASM;;175.8315276
ASM;;175.8814446
ASM;;175.9244231
ASM;;175.9618644
ASM;;175.994497
ASM;;176.0226854
ASM;;176.0460851
ASM;;176.0645211
ASM;;176.0775827
ASM;;176.0855639
ASM;;176.0888268
ASM;;176.0878773
ASM;;176.0845385
ASM;;176.0794722
ASM;;176.0735253
ASM;;176.0678768
ASM;;176.0623453
ASM;;176.0566976
ASM;;176.0511757
ASM;;
AND;;163.3876867
AND;;163.4776236
AND;;163.5679366
AND;;163.6586928
AND;;163.7493877
AND;;163.8404458
AND;;163.9323266
AND;;164.0241736
AND;;164.1164288
AND;;164.209187
AND;;164.302759
AND;;164.3975073
AND;;164.4954157
AND;;164.5969534
AND;;164.7031838
AND;;164.8158209
AND;;164.9367473
AND;;165.0654161
AND;;165.201263
AND;;165.3432561
AND;;165.4905652
AND;;165.6427206
AND;;165.7990274
AND;;165.9578016
AND;;166.1191366
AND;;166.2822008
AND;;166.4451437
AND;;166.606115
AND;;166.7654751
AND;;166.9243011
AND;;167.0826271
AND;;167.2408448
AND;;167.3986246
AND;;167.5552956
AND;;167.7110754
AND;;167.8655711
AND;;168.0183056
AND;;168.1707691
AND;;168.3254636
AND;;168.4830961
AND;;168.6418869
AND;;168.8005298
AND;;168.9590201
AND;;169.1164577
AND;;169.2720185
AND;;169.4262414
AND;;169.5813261
AND;;169.7400345
AND;;169.9028214
AND;;170.070521
AND;;170.2440805
AND;;170.4225111
AND;;170.6059026
AND;;170.7924256
AND;;170.9812523
AND;;171.1703153
AND;;171.359027
AND;;171.5476979
AND;;171.7362271
AND;;171.9232323
AND;;172.1075893
AND;;172.2907925
AND;;172.4736932
AND;;172.6553023
AND;;172.8347233
AND;;173.0120745
AND;;173.186525
AND;;173.3563271
AND;;173.5184326
AND;;173.6728537
AND;;173.8208885
AND;;173.9649027
AND;;174.1066692
AND;;174.2487238
AND;;174.3909095
AND;;174.5317418
AND;;174.6697597
AND;;174.8034882
AND;;174.9311468
AND;;175.0503646
AND;;175.1592567
AND;;175.2565967
AND;;175.3428519
AND;;175.4190826
AND;;175.4868618
AND;;175.5496307
AND;;175.6093817
AND;;175.6648608
AND;;175.7151374
AND;;175.7591258
AND;;175.7975305
AND;;175.8305023
AND;;175.8594058
AND;;175.8859513
AND;;175.910951
AND;;175.9355289
AND;;175.9600699
AND;;175.9847517
AND;;176.0096714
AND;;176.0349116
AND;;
AGO;29.84;169.6947007
AGO;31.92;169.7669763
AGO;31.24;169.8298449
AGO;36.8;169.8814517
AGO;37.28;169.922472
AGO;37.84;169.9542562
AGO;42.72;169.9772579
AGO;43.48;169.9933032
AGO;43;170.0035064
AGO;46.88;170.0093012
AGO;42.16;170.0106235
AGO;35.8;170.0075419
AGO;36.32;170.0002259
AGO;37.96;169.9883762
AGO;36.2;169.9695362
AGO;42.6;169.9425127
AGO;55;169.9048441
AGO;55.44;169.8552831
AGO;54.24;169.7942249
AGO;54.44;169.721557
AGO;61.12;169.6381431
AGO;67.44;169.5437257
AGO;66.52;169.4371074
AGO;71.52;169.318901
AGO;83.52;169.18836
AGO;68.92;169.0455025
AGO;71.52;168.8917837
AGO;71.08;168.7288957
AGO;70.2;168.55946
AGO;61.92;168.3844385
AGO;47.08;168.2065796
AGO;44.6;168.0276195
AGO;42.28;167.8480603
AGO;39.56;167.6688227
AGO;37.68;167.4899227
AGO;42.56;
AGO;42.04;
AGO;43.4;
AGO;48.08;
AGO;50.4;
AGO;55.48;
AGO;54.2;
AGO;50.76;
AGO;53;
AGO;55.36;
AGO;60.12;
AGO;64.08;
AGO;59.16;
AGO;63.72;
AGO;69.28;
AGO;73.72;
AGO;73.6;
AGO;;162.1711478
AGO;;162.2595798
AGO;;162.3484483
AGO;;162.4373794
AGO;;162.5262226
AGO;;162.6152241
AGO;;162.7046377
AGO;;162.7941997
AGO;;162.8837687
AGO;;162.9734767
AGO;;163.0629911
AGO;;163.1528351
AGO;;163.2438054
AGO;;163.3351261
AGO;;163.4274939
AGO;;163.5218882
AGO;;163.6189371
AGO;;163.7187621
AGO;;163.8207391
AGO;;163.9244158
AGO;;164.0301025
AGO;;164.1375216
AGO;;164.2468547
AGO;;164.3570846
AGO;;164.4680897
AGO;;164.5791806
AGO;;164.6898421
AGO;;164.8011362
AGO;;164.913194
AGO;;165.027853
AGO;;165.1467414
AGO;;165.2704179
AGO;;165.3996565
AGO;;165.5340624
AGO;;165.6722924
AGO;;165.8136278
AGO;;165.9566472
AGO;;166.1021988
AGO;;166.2497402
AGO;;166.398901
AGO;;166.5486879
AGO;;166.6977283
AGO;;166.8458323
AGO;;166.9923368
AGO;;167.1368586
AGO;;167.2800465
AGO;;167.4224992
AGO;;167.5658579
AGO;;167.7095556
AGO;;167.8529608
AGO;;167.9960208
AGO;;168.138106
AGO;;168.2787478
AGO;;168.4168896
AGO;;168.551474
AGO;;168.681152
AGO;;168.8052166
AGO;;168.9240682
AGO;;169.0367655
AGO;;169.1442705
AGO;;169.2467278
AGO;;169.344842
AGO;;169.439135
AGO;;169.5291095
AGO;;169.6146216
AGO;;
AIA;;
ATA;;
ATG;127.56;171.5769624
ATG;129.72;171.663582
ATG;121.68;171.745316
ATG;120.44;171.8203928
ATG;118.88;171.888931
ATG;125.72;171.9511479
ATG;116.8;172.0083035
ATG;107.56;172.0608971
ATG;130.6;172.1115064
ATG;136;172.1611527
ATG;133.12;172.2098186
ATG;132.76;172.257149
ATG;124.8;172.3025046
ATG;119.24;172.3443477
ATG;123.84;172.382362
ATG;120.96;172.4148716
ATG;127.36;172.4407368
ATG;134.32;172.4609811
ATG;143.08;172.475544
ATG;167.64;172.4867285
ATG;172.68;172.4957725
ATG;171.68;172.5036928
ATG;176.32;172.5103172
ATG;198.28;172.5166275
ATG;217.68;172.5228219
ATG;223.52;172.5295634
ATG;228.6;172.5381747
ATG;234.72;172.5484157
ATG;238.56;172.5615023
ATG;221.92;172.5775578
ATG;207.64;172.5966367
ATG;231.08;172.6180381
ATG;204.8;172.6406552
ATG;205.52;172.6630327
ATG;197.88;172.6850575
ATG;206.92;
ATG;198;
ATG;197.52;
ATG;191.08;
ATG;190.88;
ATG;192.88;
ATG;195.8;
ATG;191.4;
ATG;230.24;
ATG;225.52;
ATG;236.8;
ATG;240.2;
ATG;235.36;
ATG;227.84;
ATG;229.12;
ATG;220.4;
ATG;227.32;
ATG;;161.7119395
ATG;;161.881215
ATG;;162.0504734
ATG;;162.2193553
ATG;;162.3881866
ATG;;162.557262
ATG;;162.7264219
ATG;;162.8956216
ATG;;163.0647927
ATG;;163.2337043
ATG;;163.4026446
ATG;;163.5721644
ATG;;163.7429774
ATG;;163.9140868
ATG;;164.0866174
ATG;;164.2614597
ATG;;164.4384015
ATG;;164.6176998
ATG;;164.7990455
ATG;;164.9825191
ATG;;165.1680939
ATG;;165.3556442
ATG;;165.5449824
ATG;;165.7345082
ATG;;165.9241293
ATG;;166.1126917
ATG;;166.29886
ATG;;166.4819647
ATG;;166.6619218
ATG;;166.8401637
ATG;;167.0166979
ATG;;167.1926603
ATG;;167.3677067
ATG;;167.541259
ATG;;167.7125126
ATG;;167.8798807
ATG;;168.0428443
ATG;;168.2017339
ATG;;168.3566693
ATG;;168.5084397
ATG;;168.6572568
ATG;;168.8029918
ATG;;168.9449174
ATG;;169.0828168
ATG;;169.2171709
ATG;;169.3489208
ATG;;169.4798009
ATG;;169.6109204
ATG;;169.7424683
ATG;;169.873571
ATG;;170.0040664
ATG;;170.1327531
ATG;;170.2594582
ATG;;170.3837586
ATG;;170.5045291
ATG;;170.6199925
ATG;;170.7300385
ATG;;170.8347714
ATG;;170.9348215
ATG;;171.0312829
ATG;;171.1243078
ATG;;171.215985
ATG;;171.307101
ATG;;171.3973028
ATG;;171.4876299
ATG;;
ARG;261.36;172.0910912
ARG;264.24;172.1844978
ARG;265.04;172.2759908
ARG;226.84;172.3648053
ARG;235.52;172.4508141
ARG;260.04;172.5346699
ARG;261.36;172.6176569
ARG;275.56;172.7010882
ARG;285.92;172.7867664
ARG;269.68;172.8760681
ARG;240.16;172.9684156
ARG;229.6;173.0638744
ARG;237.6;173.1609416
ARG;260.96;173.2574691
ARG;281.28;173.3517526
ARG;280.56;173.4419057
ARG;279.2;173.5261889
ARG;288.8;173.6046004
ARG;287.08;173.677181
ARG;289.68;173.7452466
ARG;285.04;173.8100463
ARG;251;173.8729394
ARG;246.04;173.9330646
ARG;256.16;173.9904028
ARG;275.68;174.0450401
ARG;252.52;174.09778
ARG;264.52;174.1474837
ARG;245.48;174.1953468
ARG;243.96;174.2433016
ARG;234.68;174.2919649
ARG;241.72;174.342935
ARG;255.24;174.3961483
ARG;266;174.450893
ARG;264.4;174.505923
ARG;256.6;174.5608744
ARG;258.6;
ARG;263.24;
ARG;274.24;
ARG;270.92;
ARG;257.48;
ARG;218.36;
ARG;224.96;
ARG;222.8;
ARG;243.84;
ARG;250.28;
ARG;253.56;
ARG;255.52;
ARG;253.32;
ARG;255.8;
ARG;261.4;
ARG;265.4;
ARG;267.76;
ARG;;162.3372683
ARG;;162.4842397
ARG;;162.6316052
ARG;;162.7791616
ARG;;162.9267593
ARG;;163.074704
ARG;;163.2227898
ARG;;163.371243
ARG;;163.5187457
ARG;;163.6661738
ARG;;163.813514
ARG;;163.9604494
ARG;;164.1085083
ARG;;164.2572743
ARG;;164.4070407
ARG;;164.5592209
ARG;;164.7137227
ARG;;164.8707723
ARG;;165.0300959
ARG;;165.1918193
ARG;;165.3560249
ARG;;165.5229227
ARG;;165.6919712
ARG;;165.8622035
ARG;;166.0332692
ARG;;166.2044027
ARG;;166.3749556
ARG;;166.5440738
ARG;;166.7124468
ARG;;166.8819161
ARG;;167.0528722
ARG;;167.2266028
ARG;;167.402401
ARG;;167.5794444
ARG;;167.7562284
ARG;;167.9315069
ARG;;168.104531
ARG;;168.2758382
ARG;;168.4452655
ARG;;168.6138449
ARG;;168.7815573
ARG;;168.9478219
ARG;;169.1121629
ARG;;169.2743571
ARG;;169.4346744
ARG;;169.5937314
ARG;;169.7521438
ARG;;169.9106828
ARG;;170.0683839
ARG;;170.2245776
ARG;;170.3785348
ARG;;170.5292393
ARG;;170.6767137
ARG;;170.8194199
ARG;;170.9559516
ARG;;171.0855324
ARG;;171.2071173
ARG;;171.3207348
ARG;;171.427998
ARG;;171.5292595
ARG;;171.6252123
ARG;;171.7187648
ARG;;171.8114726
ARG;;171.9040239
ARG;;171.9971549
ARG;;
ARM;145.64;171.472504
ARM;152.68;171.5621126
ARM;160.6;171.6475752
ARM;149.52;171.7276217
ARM;152.88;171.8030129
ARM;158.96;171.8751673
ARM;170.2;171.9445714
ARM;175.96;172.0120271
ARM;180.28;172.0794869
ARM;185.24;172.146728
ARM;186.76;172.2132328
ARM;191.2;172.2777596
ARM;190.76;172.3401335
ARM;203.8;172.3988253
ARM;210.64;172.4518934
ARM;203.68;172.4975252
ARM;200.84;172.5326372
ARM;205.6;172.5566751
ARM;207.28;172.5706611
ARM;204.16;172.5759139
ARM;204.48;172.5741839
ARM;202.96;172.5659482
ARM;205.44;172.5512453
ARM;212.12;172.5305228
ARM;216.76;172.5031164
ARM;220.48;172.4696677
ARM;221.6;172.4306613
ARM;223.64;172.3878061
ARM;226.44;172.3421108
ARM;225.48;172.2938985
ARM;201.48;172.2449727
ARM;75.76;172.196104
ARM;54.04;172.1467101
ARM;77.12;172.0968316
ARM;65.48;172.0467921
ARM;71.24;
ARM;74.24;
ARM;76.76;
ARM;79.36;
ARM;81.8;
ARM;94.44;
ARM;102.28;
ARM;104.56;
ARM;120.2;
ARM;125.68;
ARM;139.84;
ARM;154.88;
ARM;151.84;
ARM;156.76;
ARM;158.4;
ARM;169.24;
ARM;173;
ARM;;161.8522126
ARM;;162.0144701
ARM;;162.1766726
ARM;;162.3392474
ARM;;162.5023375
ARM;;162.665477
ARM;;162.8294113
ARM;;162.9937753
ARM;;163.1580703
ARM;;163.3224296
ARM;;163.4867862
ARM;;163.6512785
ARM;;163.8165654
ARM;;163.9826701
ARM;;164.1502542
ARM;;164.3197876
ARM;;164.4922599
ARM;;164.6667341
ARM;;164.8424837
ARM;;165.0203914
ARM;;165.2000218
ARM;;165.3815717
ARM;;165.5650793
ARM;;165.7486736
ARM;;165.9315163
ARM;;166.1127394
ARM;;166.2911634
ARM;;166.4662832
